Transaction_ID,Date,Movement_Type,Batch_ID,Product_ID,Product_Name,Category,UOM,Warehouse_ID,Zone_ID,Aisle_ID,Bin_ID,Supplier_ID,Supplier_Name,Lead_Time_Days,Quantity_Sold,Opening_Stock,Unit_Cost_SGD,Unit_Price_SGD,Total_Revenue,Gross_Profit
TRX-100000,2024-01-01,OUTBOUND_SALES,BATCH-103,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,58,480,85.0,145.5,8439.0,3509.0
TRX-100001,2024-01-02,OUTBOUND_SALES,BATCH-591,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,37,460,85.0,145.5,5383.5,2238.5
TRX-100002,2024-01-03,OUTBOUND_SALES,BATCH-434,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,24,645,85.0,145.5,3492.0,1452.0
TRX-100003,2024-01-04,OUTBOUND_SALES,BATCH-338,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,51,253,85.0,145.5,7420.5,3085.5
TRX-100004,2024-01-05,OUTBOUND_SALES,BATCH-258,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,78,682,85.0,145.5,11349.0,4719.0
TRX-100005,2024-01-06,OUTBOUND_SALES,BATCH-393,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,63,237,85.0,145.5,9166.5,3811.5
TRX-100006,2024-01-07,OUTBOUND_SALES,BATCH-662,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,78,328,85.0,145.5,11349.0,4719.0
TRX-100007,2024-01-08,OUTBOUND_SALES,BATCH-228,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,50,272,85.0,145.5,7275.0,3025.0
TRX-100008,2024-01-09,OUTBOUND_SALES,BATCH-932,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,47,421,85.0,145.5,6838.5,2843.5
TRX-100009,2024-01-10,OUTBOUND_SALES,BATCH-730,SKU-7782-X,Industrial Hydraulic Filter v2,Heavy_Machinery_Parts,EA,WH-SG-JURONG-01,Z-FAST-MOVING,A-04,B-12-L2,SUP-BOSCH-DE,Bosch Rexroth AG,14,60,269,85.0,145.5,8730.0,3630.0
